step,time_s,cmd_x,cmd_y,cmd_yaw,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,contact_BL_FOOT,contact_BR_FOOT,contact_ML_FOOT,contact_MR_FOOT,action_BL_coxa_joint,action_BR_coxa_joint,action_ML_coxa_joint,action_MR_coxa_joint,action_BL_femur_joint,action_BR_femur_joint,action_ML_femur_joint,action_MR_femur_joint,action_BL_tibia_joint,action_BR_tibia_joint,action_ML_tibia_joint,action_MR_tibia_joint,target_pos_rad_BL_coxa_joint,target_pos_rad_BR_coxa_joint,target_pos_rad_ML_coxa_joint,target_pos_rad_MR_coxa_joint,target_pos_rad_BL_femur_joint,target_pos_rad_BR_femur_joint,target_pos_rad_ML_femur_joint,target_pos_rad_MR_femur_joint,target_pos_rad_BL_tibia_joint,target_pos_rad_BR_tibia_joint,target_pos_rad_ML_tibia_joint,target_pos_rad_MR_tibia_joint,actual_pos_rad_BL_coxa_joint,actual_pos_rad_BR_coxa_joint,actual_pos_rad_ML_coxa_joint,actual_pos_rad_MR_coxa_joint,actual_pos_rad_BL_femur_joint,actual_pos_rad_BR_femur_joint,actual_pos_rad_ML_femur_joint,actual_pos_rad_MR_femur_joint,actual_pos_rad_BL_tibia_joint,actual_pos_rad_BR_tibia_joint,actual_pos_rad_ML_tibia_joint,actual_pos_rad_MR_tibia_joint,actual_vel_radps_BL_coxa_joint,actual_vel_radps_BR_coxa_joint,actual_vel_radps_ML_coxa_joint,actual_vel_radps_MR_coxa_joint,actual_vel_radps_BL_femur_joint,actual_vel_radps_BR_femur_joint,actual_vel_radps_ML_femur_joint,actual_vel_radps_MR_femur_joint,actual_vel_radps_BL_tibia_joint,actual_vel_radps_BR_tibia_joint,actual_vel_radps_ML_tibia_joint,actual_vel_radps_MR_tibia_joint
10,0.2,0.0,0.30000001192092896,0.0,-0.10353652387857437,0.09360146522521973,0.5373912453651428,0.1166459396481514,0.05549085512757301,0.19433431327342987,1,0,1,1,0.3266497254371643,1.328292965888977,1.2129511833190918,0.6022235155105591,0.9541997909545898,0.6648682355880737,1.3535512685775757,1.1158798933029175,-0.14803606271743774,-0.3416617214679718,-0.4425269663333893,-0.7814775109291077,-0.18574097752571106,0.3150806427001953,1.130074381828308,0.8247105479240417,0.04076758027076721,-0.10389819741249084,0.24044331908226013,0.12160763144493103,1.8458441495895386,1.7490313053131104,1.6985986232757568,1.5291234254837036,-0.24294565618038177,0.001156230689957738,0.8610467314720154,0.7038930058479309,-0.31882816553115845,-0.31974413990974426,-0.34048908948898315,-0.312544047832489,1.9171611070632935,2.0586514472961426,1.6910818815231323,1.6427305936813354,-0.1752423346042633,2.9960625171661377,1.1664340496063232,-0.8406732082366943,2.9970808029174805,2.99657940864563,2.9217236042022705,2.9009194374084473,-2.4601612091064453,-2.998931407928467,-0.9584696292877197,-2.29778790473938
11,0.22,0.0,0.30000001192092896,0.0,-0.14729063212871552,0.04916544258594513,0.4562123417854309,0.09309659898281097,0.33970773220062256,0.13790912926197052,1,0,1,1,0.11258821189403534,1.2113064527511597,1.0238107442855835,0.4898601770401001,0.8042965531349182,0.8718264698982239,1.2344732284545898,0.49455007910728455,-0.17386680841445923,-0.3773866593837738,-0.42212510108947754,-0.7847317457199097,-0.29277172684669495,0.2565873861312866,1.0355041027069092,0.7685288786888123,-0.034184038639068604,-0.0004190802574157715,0.1809042990207672,-0.18905727565288544,1.8329287767410278,1.7311688661575317,1.7087996006011963,1.527496337890625,-0.251620888710022,0.06119127944111824,0.8837400674819946,0.6867796182632446,-0.25880616903305054,-0.25973910093307495,-0.2827453315258026,-0.2642863988876343,1.8745911121368408,1.998624563217163,1.672513723373413,1.5968241691589355,-0.5466794967651367,3.004467248916626,1.2674434185028076,-0.8571321964263916,3.001326560974121,2.999159574508667,2.940340995788574,2.02178692817688,-1.9400594234466553,-3.0006606578826904,-0.7900277376174927,-2.2803077697753906
12,0.24,0.0,0.30000001192092896,0.0,-0.1674456149339676,0.013717211782932281,0.45893415808677673,-0.7017002701759338,0.5034328699111938,-0.07827260345220566,0,1,1,0,0.12668728828430176,0.9631045460700989,0.8823961019515991,0.49569422006607056,0.5660976767539978,1.0188865661621094,1.3470779657363892,0.1816791445016861,-0.25975877046585083,-0.4593879282474518,-0.4303281009197235,-0.7884047627449036,-0.28572219610214233,0.13248643279075623,0.9647968411445618,0.7714458703994751,-0.1532834768295288,0.07311096787452698,0.23720666766166687,-0.34549275040626526,1.789982795715332,1.6901681423187256,1.704698085784912,1.5256597995758057,-0.26621952652931213,0.09625524282455444,0.9039003849029541,0.6862850785255432,-0.19919247925281525,-0.20521774888038635,-0.23156122863292694,-0.24899646639823914,1.8339779376983643,1.938547134399414,1.651089072227478,1.5542690753936768,-0.7529727220535278,1.0901747941970825,0.9860785603523254,0.6082983613014221,2.9174742698669434,2.718846559524536,2.41396427154541,-0.12045679986476898,-1.9936151504516602,-3.163214683532715,-1.4088172912597656,-1.8182393312454224
13,0.26,0.0,0.30000001192092896,0.0,0.030880793929100037,0.1961343139410019,0.3096843361854553,0.0780961886048317,-0.24801918864250183,0.26363006234169006,0,1,1,0,0.6783928871154785,-0.12377225607633591,-0.0742836743593216,1.5596100091934204,-0.8940897583961487,0.8368273973464966,1.4789944887161255,-3.454647958278656e-05,-0.24408720433712006,-0.1825549155473709,-0.24072156846523285,-1.2106471061706543,-0.009869396686553955,-0.41095197200775146,0.486456960439682,1.3034038543701172,-0.883377194404602,-0.01791861653327942,0.30316492915153503,-0.4363496005535126,1.7978185415267944,1.8285846710205078,1.7995014190673828,1.314538598060608,-0.2410469800233841,0.06529008597135544,0.8967390060424805,0.7315837740898132,-0.24073411524295807,-0.15924935042858124,-0.20329967141151428,-0.2697390615940094,1.804853081703186,1.8887765407562256,1.6391806602478027,1.5063754320144653,2.6889984607696533,-2.9274282455444336,-1.715198040008545,2.9929816722869873,-3.0023229122161865,2.05240797996521,1.314989686012268,-1.9842371940612793,-1.1879897117614746,-2.120863914489746,0.10432012379169464,-2.7199530601501465
14,0.28,0.0,0.30000001192092896,0.0,0.06105738878250122,0.3047674298286438,0.29361066222190857,0.4442134201526642,-0.8786765336990356,0.3280995786190033,0,1,1,0,0.519309937953949,0.4217430651187897,0.41120246052742004,2.291095733642578,-0.4299847185611725,0.9941074252128601,1.8796501159667969,0.6913226246833801,0.3344860076904297,-0.1420494168996811,-0.2861202359199524,-1.3801027536392212,-0.08941087126731873,-0.13819430768489838,0.729200005531311,1.6691466569900513,-0.6513246893882751,0.060721397399902344,0.5034927129745483,-0.09067100286483765,2.0871052742004395,1.8488374948501587,1.7768020629882812,1.2298107147216797,-0.18177081644535065,0.010725757107138634,0.8716044425964355,0.791313648223877,-0.3009820282459259,-0.1117231622338295,-0.18808890879154205,-0.2598505914211273,1.8455787897109985,1.8500707149505615,1.6370939016342163,1.4510658979415894,3.0000925064086914,-2.736783742904663,-1.2435275316238403,2.989635944366455,-3.0003459453582764,2.4301252365112305,0.5866358876228333,2.1559393405914307,3.0002212524414062,-1.982469916343689,-0.21369284391403198,-2.5458762645721436
15,0.3,0.0,0.30000001192092896,0.0,0.09966656565666199,0.3277325928211212,0.26479822397232056,-0.2447812855243683,0.3103387951850891,0.314483642578125,0,1,1,0,0.6787233948707581,0.6515536308288574,0.6742408275604248,2.1588315963745117,0.8201360106468201,1.6228471994400024,1.9403544664382935,-0.05362037569284439,0.7068583369255066,-0.12502457201480865,-0.2770785391330719,-1.360439658164978,-0.009704142808914185,-0.023289024829864502,0.8607192039489746,1.603014588356018,-0.026264309883117676,0.3750912845134735,0.5338449478149414,-0.4631425142288208,2.2732913494110107,1.8573498725891113,1.7813228368759155,1.2396423816680908,-0.1217307299375534,-0.03300844877958298,0.8556488156318665,0.8513246178627014,-0.28279560804367065,-0.07865526527166367,-0.16241124272346497,-0.26939958333969116,1.9055871963500977,1.8141342401504517,1.6404352188110352,1.415014386177063,3.0002708435058594,-1.7480659484863281,-0.5358530879020691,3.0319831371307373,2.9998068809509277,1.3073903322219849,2.48049259185791,-2.27899432182312,3.00038743019104,-1.687603235244751,1.2216172218322754,-1.1614686250686646
16,0.32,0.0,0.30000001192092896,0.0,0.018449027091264725,0.35357365012168884,0.2635915279388428,-0.27375200390815735,-0.0632617175579071,-0.1020590215921402,0,1,1,0,1.1147518157958984,0.686124324798584,0.4290207326412201,2.6733176708221436,0.7447574734687805,1.2619489431381226,1.8923667669296265,1.3898252248764038,0.2258274108171463,-0.4693281650543213,-0.2805131673812866,-1.5327850580215454,0.208310067653656,-0.006003677845001221,0.7381091713905334,1.860257625579834,-0.06395357847213745,0.19464215636253357,0.5098510980606079,0.2585802972316742,2.03277587890625,1.6851980686187744,1.7796056270599365,1.1534695625305176,-0.06173095479607582,-0.06182211637496948,0.8390249013900757,0.9116032719612122,-0.22279563546180725,-0.0455370731651783,-0.13922461867332458,-0.24468693137168884,1.965491771697998,1.7705010175704956,1.6455518007278442,1.3969863653182983,2.9998581409454346,-1.1284540891647339,-1.159289002418518,3.0186657905578613,3.0006113052368164,1.8998117446899414,1.27553129196167,3.001976490020752,2.969909191131592,-2.5100624561309814,0.5727906227111816,-0.5401890277862549
17,0.34,0.0,0.30000001192092896,0.0,0.1114039495587349,0.4200640320777893,0.20222674310207367,-0.06163734197616577,0.15673093497753143,-0.01716054230928421,0,1,1,0,1.4523988962173462,0.28564682602882385,0.29669538140296936,2.4200284481048584,1.1999326944351196,1.5069670677185059,2.002924919128418,1.0537617206573486,0.003117556683719158,-0.3455798923969269,-0.608319878578186,-1.47948157787323,0.3771336078643799,-0.2062424272298813,0.6719464659690857,1.7336130142211914,0.1636340320110321,0.3171512186527252,0.5651301145553589,0.0905485451221466,1.921420931816101,1.7470722198486328,1.6157021522521973,1.1801214218139648,-0.0017506068106740713,-0.09194821864366531,0.8148913979530334,0.9713301062583923,-0.16265451908111572,-0.020148031413555145,-0.1180572435259819,-0.18440324068069458,1.9899845123291016,1.729902982711792,1.6430684328079224,1.3961611986160278,2.999370813369751,-1.8005808591842651,-1.3415217399597168,2.9298431873321533,3.005162239074707,0.846954345703125,1.2479379177093506,3.0093510150909424,-0.038596898317337036,-1.6960275173187256,-0.26103484630584717,0.29460692405700684
18,0.36,0.0,0.30000001192092896,0.0,0.1732221394777298,0.40561985969543457,0.23820003867149353,-0.272270143032074,0.6025164723396301,0.014959716238081455,0,1,1,0,1.43025541305542,0.4399067461490631,0.456410676240921,2.4734976291656494,1.4350556135177612,1.1099298000335693,1.6678494215011597,1.3695178031921387,-0.03138633817434311,-0.5783015489578247,-0.9484133124351501,-1.5256956815719604,0.36606186628341675,-0.12911246716976166,0.7518041133880615,1.760347604751587,0.2811954915523529,0.11863258481025696,0.3975923955440521,0.24842658638954163,1.904168963432312,1.630711317062378,1.4456554651260376,1.1570143699645996,0.05823207274079323,-0.1240246519446373,0.7913442850112915,1.0253260135650635,-0.10257672518491745,-0.0051753888837993145,-0.08525019884109497,-0.12421499192714691,1.968674659729004,1.6975560188293457,1.629207730293274,1.4045989513397217,2.999546527862549,-1.4206175804138184,-1.0252944231033325,2.4071907997131348,3.0018153190612793,0.7289883494377136,2.0237913131713867,3.0055136680603027,-1.6633208990097046,-1.6032246351242065,-1.079180121421814,0.4777827262878418
19,0.38,0.0,0.30000001192092896,0.0,0.1101900190114975,0.3928622901439667,-0.029911136254668236,0.0023669549264013767,-0.41710934042930603,0.11773188412189484,0,0,0,1,1.3763467073440552,0.46363067626953125,0.8742095232009888,2.3230865001678467,1.4872894287109375,-0.22553694248199463,0.07914932072162628,1.576982021331787,-0.32657504081726074,-0.6615235805511475,-1.6440116167068481,-1.4380730390548706,0.3391075134277344,-0.11725050210952759,0.9607035517692566,1.6851420402526855,0.30731239914894104,-0.5491007566452026,-0.39675766229629517,0.35215869545936584,1.7565746307373047,1.5891003608703613,1.0978562831878662,1.2008256912231445,0.11712802201509476,-0.14727315306663513,0.7981109619140625,1.0319675207138062,-0.04598548635840416,-0.054755114018917084,-0.10595861822366714,-0.08319542557001114,1.9118049144744873,1.6573847532272339,1.5778652429580688,1.398342251777649,2.7702531814575195,-0.8443022966384888,1.3096450567245483,-2.344229221343994,2.557573080062866,-3.001925468444824,-2.9916529655456543,0.39354783296585083,-3.000110149383545,-2.3062446117401123,-2.999227523803711,-1.6471574306488037
