step,time_s,roll_deg,pitch_deg,yaw_drift_deg,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,projected_gravity_x,projected_gravity_y,projected_gravity_z,done
0,0.0,0.022430984303355217,-0.02138858288526535,-14.355575561523438,0.057553112506866455,0.6667319536209106,0.4964839518070221,0.26283201575279236,-0.12011149525642395,0.2681788206100464,-0.0003733011253643781,-0.0003914944245480001,-0.9999998807907104,0
1,0.02,0.22678960859775543,-0.09078805148601532,-14.554702758789062,-0.03186032176017761,0.5054333806037903,0.33384305238723755,0.16582761704921722,-0.03887949883937836,-0.31358465552330017,-0.0015845495508983731,-0.0039582098834216595,-0.9999909400939941,0
2,0.04,0.24210233986377716,-0.4446626603603363,-14.870376586914062,-0.03836360573768616,0.4393118917942047,0.19724081456661224,-0.08160412311553955,-0.5235638618469238,-0.23706404864788055,-0.007760749198496342,-0.004225342534482479,-0.9999609589576721,0
3,0.06,0.2323354035615921,-1.3178600072860718,-15.010337829589844,-0.025333911180496216,0.3609744608402252,0.09344163537025452,0.026983141899108887,-0.8075118064880371,-0.0988394021987915,-0.02299896627664566,-0.0040539326146245,-0.9997272491455078,0
4,0.08,0.09290620684623718,-1.7166171073913574,-15.116050720214844,0.0041769444942474365,0.36873120069503784,-0.02982742339372635,-0.2235001176595688,-0.025761127471923828,-0.08111321181058884,-0.029956135898828506,-0.0016207890585064888,-0.999549925327301,0
5,0.1,-0.28278911113739014,-1.7332969903945923,-15.205810546875,-0.0036655962467193604,0.3701947331428528,-0.1753186285495758,-0.36398184299468994,-0.06447011232376099,-0.07790298014879227,-0.030247122049331665,0.0049333227798342705,-0.9995302557945251,0
6,0.12,-0.7278122901916504,-1.7651928663253784,-15.260307312011719,0.01905760169029236,0.3247624337673187,-0.2620573937892914,-0.8831138610839844,0.6915829181671143,0.1582356095314026,-0.030803553760051727,0.012696350924670696,-0.999444842338562,0
7,0.14,-1.4707159996032715,-1.1583386659622192,-14.90850830078125,0.11759735643863678,0.039668455719947815,0.25958094000816345,-0.23045983910560608,0.6098710298538208,0.39791688323020935,-0.020215444266796112,0.025660770013928413,-0.9994663000106812,0
8,0.16,-1.2740155458450317,-0.22900734841823578,-14.60858154296875,0.026694878935813904,0.22103239595890045,0.3780716061592102,0.38058292865753174,0.7940753698348999,0.11272308975458145,-0.003996921703219414,0.022233758121728897,-0.9997448325157166,0
9,0.18,-1.0000215768814087,0.15620116889476776,-14.509757995605469,-0.038254618644714355,0.1987091600894928,0.5484872460365295,0.18879078328609467,0.0766231119632721,0.0944315493106842,0.0027262214571237564,0.017452720552682877,-0.999843955039978,0
10,0.2,-0.8576688170433044,0.232356458902359,-14.396232604980469,-0.1033187061548233,0.09456826746463776,0.5356547832489014,0.10704106837511063,0.031805671751499176,0.09826640784740448,0.00405537337064743,0.01496846228837967,-0.9998797178268433,0
11,0.22,-0.7502089142799377,0.35159561038017273,-14.291328430175781,-0.16684392094612122,0.04558579623699188,0.5068767070770264,0.08957179635763168,0.11693543940782547,0.0769243985414505,0.0061364611610770226,0.013092994689941406,-0.999895453453064,0
12,0.24,-1.030677080154419,0.877461850643158,-14.24237060546875,-0.17021247744560242,0.012884959578514099,0.44581666588783264,-0.687942624092102,0.5510770082473755,0.021795369684696198,0.015313996933400631,0.017985627055168152,-0.9997209310531616,0
13,0.26,-1.1410731077194214,0.5988538861274719,-14.051445007324219,-0.0034232735633850098,0.1874425709247589,0.3161982297897339,0.14718183875083923,-0.48847734928131104,0.2510402798652649,0.010451780632138252,0.0199130792170763,-0.999747097492218,0
14,0.28,-0.7522677779197693,-0.2587936818599701,-13.667961120605469,0.05243369936943054,0.2883957624435425,0.2593417465686798,0.49898776412010193,-0.8756978511810303,0.36440497636795044,-0.0045167868956923485,0.013129038736224174,-0.9999036192893982,0
15,0.3,-0.6737749576568604,-0.4855194389820099,-13.289215087890625,0.057711899280548096,0.291190505027771,0.25080612301826477,-0.16331462562084198,0.16727213561534882,0.2677176296710968,-0.00847381167113781,0.011758899316191673,-0.9998949766159058,0
16,0.32,-0.8525044322013855,-0.5208930373191833,-13.169319152832031,6.866455078125e-05,0.31956592202186584,0.2121339589357376,-0.17379719018936157,-0.06725933402776718,-0.027223387733101845,-0.009091172367334366,0.014877844601869583,-0.9998480081558228,0
17,0.34,-0.9748700857162476,-0.5531636476516724,-13.162628173828125,0.04513663053512573,0.3960505723953247,0.1337992250919342,-0.033540934324264526,0.07954538613557816,0.038156237453222275,-0.009654375724494457,0.017013076692819595,-0.999808669090271,0
18,0.36,-1.0240756273269653,-0.2062223255634308,-13.120155334472656,0.060307085514068604,0.4425276219844818,0.11979293078184128,-0.11048248410224915,0.4148727059364319,0.0808015763759613,-0.003599250689148903,0.01787242293357849,-0.9998338222503662,0
19,0.38,-1.1273101568222046,0.19130514562129974,-13.16156005859375,0.09510675072669983,0.39140385389328003,0.20334456861019135,0.24099886417388916,-0.04025827348232269,-0.12323621660470963,0.0033388985320925713,0.019673895090818405,-0.9998008608818054,0
20,0.4,-0.6187125444412231,-0.2441404014825821,-13.258987426757812,0.002282083034515381,0.30816540122032166,-0.04019516706466675,0.5124318599700928,-0.6521694660186768,-0.09190207719802856,-0.004261041060090065,0.010798263363540173,-0.9999326467514038,0
21,0.42,-0.39098259806632996,-0.7599875926971436,-13.236503601074219,-0.07941843569278717,0.23693273961544037,-0.013461360707879066,-0.1113569438457489,-0.1426311731338501,0.05789423733949661,-0.01326389703899622,0.006823280826210976,-0.9998887777328491,0
22,0.44,-0.6047441363334656,-0.8830105066299438,-13.232772827148438,-0.09182283282279968,0.24285182356834412,-0.11703692376613617,-0.2414962649345398,-0.10417924076318741,-0.017630092799663544,-0.015410831198096275,0.010553327389061451,-0.9998255372047424,0
23,0.46,-0.8235445022583008,-0.7842609286308289,-13.287101745605469,-0.08434557914733887,0.23392710089683533,-0.16372036933898926,-0.15336738526821136,0.17297294735908508,-0.06729108840227127,-0.013687505386769772,0.01437171921133995,-0.9998030066490173,0
24,0.48,-1.1302869319915771,-0.6820498704910278,-13.383651733398438,-0.08429351449012756,0.23787057399749756,-0.18686212599277496,-0.3901934027671814,-0.06922170519828796,-0.09612786769866943,-0.011903733015060425,0.01972455158829689,-0.9997345805168152,0
25,0.5,-1.5349066257476807,-0.334543913602829,-13.512054443359375,0.004980027675628662,0.24698328971862793,-0.067191943526268,-0.12362158298492432,0.8414303064346313,-0.020589694380760193,-0.00583885982632637,0.026785515248775482,-0.9996241331100464,0
26,0.52,-1.618766188621521,0.46064794063568115,-13.732215881347656,0.00016748905181884766,0.2704729437828064,0.08780168741941452,0.005282998085021973,0.582589864730835,-0.2541923224925995,0.008039737120270729,0.028248127549886703,-0.9995685815811157,0
27,0.54,-1.2371479272842407,0.8172863721847534,-13.807373046875,-0.01347777247428894,0.28067830204963684,0.15302257239818573,0.5278757810592651,0.20422551035881042,0.09627237915992737,0.014263855293393135,0.021588431671261787,-0.9996652007102966,0
28,0.56,-0.46839749813079834,1.0014060735702515,-13.720855712890625,-0.09859748184680939,0.27519017457962036,0.23432035744190216,0.7675230503082275,0.10889840126037598,0.06789396703243256,0.017476942390203476,0.008173737674951553,-0.9998138546943665,0
29,0.58,0.19468720257282257,1.6472886800765991,-13.69940185546875,-0.0892227292060852,0.25853273272514343,0.17016974091529846,0.004287272691726685,0.0848143994808197,-0.05595986917614937,0.028746645897626877,-0.0033965231850743294,-0.999580979347229,0
30,0.6,-0.004193645901978016,1.3652480840682983,-13.711265563964844,-0.06631478667259216,0.2330760657787323,0.11152587085962296,-0.3065509498119354,-0.4606170654296875,0.024327682331204414,0.02382582053542137,7.317215204238892e-05,-0.9997161030769348,0
31,0.62,-0.3851935863494873,0.6533243656158447,-13.618087768554688,-0.014148250222206116,0.2175728678703308,0.0034980212803930044,-0.31757813692092896,-0.6940992474555969,0.11491703987121582,0.011402413249015808,0.006722407415509224,-0.9999123811721802,0
32,0.64,-0.642059326171875,-0.2673058807849884,-13.433784484863281,-0.01604565978050232,0.23630544543266296,-0.0797567218542099,-0.12183040380477905,-0.8123141527175903,0.150388702750206,-0.004665350541472435,0.01120569184422493,-0.9999263286590576,0
33,0.66,-0.6739709377288818,-1.1491600275039673,-13.280364990234375,-0.047086119651794434,0.2756325900554657,-0.14217820763587952,0.05458211898803711,-0.6692621111869812,0.10612329840660095,-0.02005528286099434,0.011760376393795013,-0.9997296929359436,0
34,0.68,-0.5503718852996826,-1.7294697761535645,-13.183219909667969,-0.0690138041973114,0.3091885447502136,-0.17112287878990173,0.13602757453918457,-0.31340059638023376,0.04747284948825836,-0.030180353671312332,0.009601276367902756,-0.9994983673095703,0
35,0.7000000000000001,-0.3850407004356384,-1.8524582386016846,-13.1239013671875,-0.0642474889755249,0.35163605213165283,-0.15301813185214996,0.14273904263973236,0.07349692285060883,-0.00709175830706954,-0.032325856387615204,0.006716663017868996,-0.9994547963142395,0
36,0.72,-0.243024542927742,-1.5875205993652344,-13.192245483398438,-0.00934019684791565,0.386608749628067,-0.0899578183889389,0.09562370181083679,0.36450397968292236,-0.10546110570430756,-0.027703914791345596,0.0042399391531944275,-0.9996072053909302,0
37,0.74,0.10109219700098038,-1.6644976139068604,-13.332916259765625,0.05396932363510132,0.33024218678474426,0.12359951436519623,0.3269727826118469,-0.19364139437675476,-0.06706080585718155,-0.029046878218650818,-0.0017636464908719063,-0.9995765089988708,0
38,0.76,0.05443009361624718,-1.6163417100906372,-13.277976989746094,0.08917847275733948,0.30424097180366516,0.12621083855628967,-0.1761496365070343,-0.13292790949344635,0.03631800413131714,-0.02820674516260624,-0.0009496062994003296,-0.9996016621589661,0
39,0.78,-0.1304381787776947,-1.7187069654464722,-13.222618103027344,0.006047338247299194,0.31465959548950195,0.07024604082107544,-0.13232576847076416,-0.053552232682704926,0.07127920538187027,-0.029992595314979553,0.0022755498066544533,-0.99954754114151,0
40,0.8,-0.44856345653533936,-1.822044014930725,-13.146171569824219,0.0047386884689331055,0.28255897760391235,0.013987855054438114,-0.39130061864852905,-0.14216674864292145,0.07548053562641144,-0.031795307993888855,0.007824871689081192,-0.9994637966156006,0
41,0.8200000000000001,-0.8698331117630005,-1.9162993431091309,-13.117546081542969,0.015221744775772095,0.2910989820957184,-0.0018582167103886604,-0.3578580915927887,-0.07394951581954956,-0.01091427356004715,-0.03343949839472771,0.015172379091382027,-0.9993255734443665,0
42,0.84,-1.3398420810699463,-2.026231527328491,-13.103973388671875,-0.011463046073913574,0.32936227321624756,-0.06335967779159546,-0.4496802091598511,-0.16398824751377106,0.04030714929103851,-0.0353570356965065,0.023367904126644135,-0.9991015195846558,0
43,0.86,-1.9696251153945923,-2.193269968032837,-13.088348388671875,-0.04162833094596863,0.4302499294281006,-0.05564963072538376,-0.6055035591125488,-0.16796347498893738,0.028210213407874107,-0.038270432502031326,0.034344494342803955,-0.9986770153045654,0
44,0.88,-2.2701826095581055,-1.711120843887329,-12.925834655761719,0.08887997269630432,0.3706352412700653,0.06699864566326141,0.055444687604904175,0.5017227530479431,0.2519838809967041,-0.029860256239771843,0.0395941324532032,-0.9987695813179016,0
45,0.9,-2.05132794380188,-1.3877439498901367,-12.774864196777344,0.05031716823577881,0.3336936831474304,0.18976864218711853,0.36752229928970337,0.18742835521697998,0.0482243150472641,-0.024218333885073662,0.0357842743396759,-0.9990660548210144,0
46,0.92,-1.3426692485809326,-1.0210708379745483,-12.688850402832031,-0.03387245535850525,0.3302803933620453,0.2523447871208191,0.8147755861282349,0.3680698573589325,0.12838943302631378,-0.017820103093981743,0.02342812903225422,-0.9995666742324829,0
47,0.9400000000000001,-0.48825156688690186,0.10759159177541733,-12.639869689941406,0.017601370811462402,0.28316250443458557,0.06035829707980156,0.7699325084686279,1.2310187816619873,0.03216097503900528,0.0018778268713504076,0.00852147676050663,-0.9999619126319885,0
48,0.96,0.19419513642787933,0.8624969124794006,-12.576187133789062,0.008833006024360657,0.2424865961074829,0.020902486518025398,0.2241753339767456,0.058275848627090454,0.07049324363470078,0.015052840113639832,-0.0033889533951878548,-0.9998809695243835,0
49,0.98,0.2025158554315567,0.7896361351013184,-12.482368469238281,0.054907187819480896,0.22543907165527344,-0.020672550424933434,-0.16408933699131012,-0.13902373611927032,0.08184747397899628,0.013781312853097916,-0.00353422574698925,-0.9998987913131714,0
50,1.0,-0.14832600951194763,0.5472213625907898,-12.357078552246094,0.06527318060398102,0.2508639395236969,-0.06902548670768738,-0.37806808948516846,-0.26825836300849915,0.07887304574251175,0.00955066829919815,0.0025886562652885914,-0.9999510645866394,0
51,1.02,-0.5019850134849548,0.0792817771434784,-12.287879943847656,0.03284919261932373,0.29522788524627686,-0.12511754035949707,-0.2353430986404419,-0.4762149155139923,0.04449665546417236,0.0013837278820574284,0.008761169388890266,-0.9999606609344482,0
52,1.04,-0.5338135361671448,-0.6537768244743347,-12.1944580078125,-0.0030248165130615234,0.3274677097797394,-0.19852754473686218,0.015916407108306885,-0.5259613394737244,0.07608643174171448,-0.011410310864448547,0.009316062554717064,-0.9998915195465088,0
53,1.06,-0.526757001876831,-1.0027235746383667,-12.153457641601562,0.0020919740200042725,0.3350698947906494,-0.19405177235603333,-0.010589711368083954,-0.10058032721281052,-0.005546173546463251,-0.017499931156635284,0.009192104451358318,-0.9998046159744263,0
54,1.08,-0.5376361608505249,-0.9346231818199158,-12.160125732421875,0.05555850267410278,0.36701148748397827,-0.14416976273059845,-0.018470942974090576,0.20081984996795654,-0.01489480771124363,-0.0163115281611681,0.00938213337212801,-0.9998229146003723,0
55,1.1,-0.13912847638130188,-1.329695224761963,-12.207305908203125,0.10006353259086609,0.29202157258987427,0.08170168101787567,0.34384220838546753,-0.31436121463775635,0.013753067702054977,-0.023205474019050598,0.002427593804895878,-0.9997277855873108,0
56,1.12,-0.2706351578235626,-1.2678205966949463,-12.067832946777344,0.13893432915210724,0.21724486351013184,0.18410952389240265,-0.15461626648902893,0.05868004262447357,0.11323980987071991,-0.022125836461782455,0.004722299054265022,-0.9997440576553345,0
57,1.1400000000000001,-0.5096791386604309,-1.2584072351455688,-12.039703369140625,0.03896114230155945,0.3465278446674347,0.10560707002878189,-0.13326454162597656,0.09787197411060333,0.02978438138961792,-0.02196158468723297,0.008893316611647606,-0.9997192621231079,0
58,1.16,-0.6311690211296082,-1.1808987855911255,-12.042068481445312,0.012958794832229614,0.3462876081466675,0.056592948734760284,-0.16221600770950317,-0.004687145352363586,-0.019355257973074913,-0.020609114319086075,0.011013414710760117,-0.9997269511222839,0
59,1.18,-0.9819222688674927,-1.3693004846572876,-11.991386413574219,0.02580726146697998,0.3185836374759674,0.06304550915956497,-0.40743008255958557,-0.3254004716873169,0.10300587117671967,-0.02389652281999588,0.017132041975855827,-0.9995676279067993,0
60,1.2,-1.3870929479599,-1.5878640413284302,-11.890228271484375,-0.008506864309310913,0.3759396970272064,0.024017129093408585,-0.3334903419017792,-0.20348937809467316,0.07092000544071198,-0.02770991064608097,0.02419768087565899,-0.9993230700492859,0
61,1.22,-1.8763692378997803,-1.88694167137146,-11.804450988769531,-0.02660304307937622,0.4362417161464691,0.015537691302597523,-0.48810502886772156,-0.343844473361969,0.005172411911189556,-0.032927390187978745,0.03272520750761032,-0.9989218711853027,0
62,1.24,-2.3575282096862793,-1.8428150415420532,-11.676750183105469,0.055887818336486816,0.3994235396385193,0.11896747350692749,-0.046383410692214966,0.36282193660736084,0.24499604105949402,-0.032157640904188156,0.04111373424530029,-0.9986368417739868,0
63,1.26,-2.204097032546997,-1.6735213994979858,-11.502822875976562,0.02708384394645691,0.33228403329849243,0.20275168120861053,0.31570082902908325,0.015344589948654175,0.08376972377300262,-0.02920430339872837,0.03844285383820534,-0.998833954334259,0
64,1.28,-1.5966062545776367,-1.516478180885315,-11.355110168457031,-0.03838507831096649,0.32013747096061707,0.250424325466156,0.7125946283340454,0.2152671217918396,0.18694829940795898,-0.026464443653821945,0.02785266749560833,-0.9992616772651672,0
65,1.3,-0.8385822176933289,-0.5186965465545654,-11.227836608886719,0.011804983019828796,0.27765199542045593,0.064119353890419,0.7057435512542725,1.159102201461792,0.10082259029150009,-0.009052838198840618,0.014634896069765091,-0.9998519420623779,0
66,1.32,-0.20957742631435394,0.29267454147338867,-11.113883972167969,0.006632491946220398,0.24188870191574097,0.022594265639781952,0.1940688043832779,0.14388743042945862,0.09687753766775131,0.005108111537992954,0.003657759865745902,-0.9999802708625793,0
67,1.34,-0.20410846173763275,0.37755271792411804,-11.004135131835938,0.05211232602596283,0.2296743392944336,-0.027038732543587685,-0.14731961488723755,0.01740819215774536,0.07920677214860916,0.0065894899889826775,0.0035622792784124613,-0.9999719262123108,0
68,1.36,-0.4648001492023468,0.26634252071380615,-10.9205322265625,0.050565674901008606,0.2684784233570099,-0.08288272470235825,-0.25637122988700867,-0.17079849541187286,0.018712472170591354,0.004648537375032902,0.00811211671680212,-0.9999563097953796,0
69,1.3800000000000001,-0.620131254196167,-0.18572480976581573,-10.909217834472656,0.012788861989974976,0.30271244049072266,-0.15426890552043915,0.017350882291793823,-0.5826733112335205,0.005794668570160866,-0.0032415033783763647,0.010823062621057034,-0.9999361634254456,0
70,1.4000000000000001,-0.5713719725608826,-0.7440835237503052,-10.863166809082031,-0.022984713315963745,0.33522212505340576,-0.18158547580242157,0.05239787697792053,-0.35516357421875,0.049242399632930756,-0.012986340560019016,0.009971315041184425,-0.9998659491539001,0
71,1.42,-0.5267847180366516,-0.956286609172821,-10.861091613769531,-0.0052804648876190186,0.34806007146835327,-0.16919675469398499,0.015980182215571404,-0.015139924362301826,-0.04393581300973892,-0.016689574345946312,0.00919271633028984,-0.9998184442520142,0
72,1.44,-0.46649932861328125,-0.9458153247833252,-10.90692138671875,0.0075685083866119385,0.3244214653968811,-0.03965015709400177,0.24900270998477936,-0.3926389217376709,-0.08430547267198563,-0.016506841406226158,0.008140750229358673,-0.9998306035995483,0
73,1.46,0.4244805574417114,-0.7702640891075134,-11.070266723632812,0.016964241862297058,0.22061370313167572,-0.05288510024547577,1.0776081085205078,0.3866158723831177,-0.1887156069278717,-0.01344323717057705,-0.007407845463603735,-0.9998822212219238,0
74,1.48,0.4217092990875244,-0.6594423055648804,-10.903511047363281,0.08119793236255646,0.13851824402809143,0.09675632417201996,-0.2368590533733368,-0.17449216544628143,0.20936733484268188,-0.011509185656905174,-0.007359662093222141,-0.9999066591262817,0
75,1.5,0.2639937698841095,-0.6757962107658386,-10.798515319824219,0.011415600776672363,0.2912042737007141,0.05702115222811699,-0.033068131655454636,0.09655413776636124,0.006494621746242046,-0.011794593185186386,-0.0046072229743003845,-0.9999198317527771,0
76,1.52,0.06119690462946892,-0.6811116933822632,-10.789108276367188,0.022769004106521606,0.295289009809494,0.05198314040899277,-0.2986178994178772,-0.11114877462387085,0.024888038635253906,-0.011887360364198685,-0.001068012323230505,-0.9999287724494934,0
77,1.54,-0.25900986790657043,-0.8051950931549072,-10.786552429199219,0.02925249934196472,0.3203124701976776,0.061102334409952164,-0.2949901819229126,-0.16882601380348206,-0.010726683773100376,-0.014052841812372208,0.0045201126486063,-0.9998910427093506,0
78,1.56,-0.6332563161849976,-0.995845377445221,-10.762474060058594,0.001968085765838623,0.3451474905014038,0.008861081674695015,-0.3436572551727295,-0.2034069299697876,0.06069854646921158,-0.01737990230321884,0.0110505111515522,-0.9997878670692444,0
79,1.58,-1.1375315189361572,-1.22390615940094,-10.709747314453125,-0.027579039335250854,0.43001919984817505,0.02701776660978794,-0.49775180220603943,-0.23252131044864655,0.0339873842895031,-0.02135956659913063,0.019847838208079338,-0.9995748400688171,0
80,1.6,-1.560534119606018,-1.0999257564544678,-10.596992492675781,0.051579415798187256,0.39416080713272095,0.12938900291919708,-0.05659566819667816,0.2350454032421112,0.20058393478393555,-0.019196148961782455,0.02722807414829731,-0.9994449019432068,0
81,1.62,-1.5013210773468018,-1.0721166133880615,-10.443687438964844,0.02543884515762329,0.35840460658073425,0.24175547063350677,0.20017573237419128,-0.09738025069236755,0.0763566642999649,-0.018710870295763016,0.026195406913757324,-0.999481737613678,0
82,1.6400000000000001,-1.012725591659546,-1.0441999435424805,-10.317375183105469,-0.04426267743110657,0.3520883023738861,0.28178316354751587,0.6052560806274414,0.09081637859344482,0.14381566643714905,-0.01822371408343315,0.01767154037952423,-0.9996777772903442,0
83,1.6600000000000001,-0.40058988332748413,-0.20696565508842468,-10.2427978515625,0.00361025333404541,0.3040672838687897,0.08782725036144257,0.555259644985199,1.0179662704467773,0.04688246175646782,-0.003612224478274584,0.006991510279476643,-0.9999690055847168,0
84,1.68,0.1786034107208252,0.5989974141120911,-10.103652954101562,0.013756603002548218,0.2531215250492096,0.008523238822817802,0.09147698432207108,0.036212049424648285,0.14021745324134827,0.010454287752509117,-0.0031170423608273268,-0.9999405145645142,0
85,1.7,0.11070296168327332,0.591109037399292,-9.9710693359375,0.06519906222820282,0.23888924717903137,-0.04554656520485878,-0.20169496536254883,-0.10714127123355865,0.07200869172811508,0.010316613130271435,-0.0019320263527333736,-0.9999449253082275,0
86,1.72,-0.28522104024887085,0.42687007784843445,-9.873031616210938,0.05870907008647919,0.2622957229614258,-0.09073943644762039,-0.4218006730079651,-0.1524622142314911,0.045470234006643295,0.007450217846781015,0.004977887496352196,-0.9999598860740662,0
87,1.74,-0.6881763935089111,0.07637602090835571,-9.836372375488281,0.020588696002960205,0.29753851890563965,-0.17000196874141693,-0.13346415758132935,-0.6518446803092957,0.0318002812564373,0.0013330127112567425,0.012010645121335983,-0.9999269843101501,0
88,1.76,-0.7890464663505554,-0.509161651134491,-9.769218444824219,-0.001434028148651123,0.3359510898590088,-0.1947062909603119,-0.06027069687843323,-0.3887392282485962,0.05709114298224449,-0.008886427618563175,0.01377047784626484,-0.999865710735321,0
89,1.78,-0.8623471260070801,-0.7351676225662231,-9.745826721191406,0.018882781267166138,0.35176777839660645,-0.18048149347305298,-0.0731736347079277,-0.01773809641599655,-0.01782548613846302,-0.012830742634832859,0.015048987232148647,-0.9998044371604919,0
90,1.8,-0.8344274759292603,-0.8319733738899231,-9.777252197265625,0.016613304615020752,0.314441442489624,-0.02499520033597946,0.2971334755420685,-0.5695919990539551,-0.09077110886573792,-0.014520161785185337,0.014561454765498638,-0.9997885227203369,0
91,1.82,0.04300379753112793,-0.7065737247467041,-9.931739807128906,0.07649809122085571,0.21150362491607666,0.07334626466035843,0.4258623719215393,0.6065795421600342,0.048892952501773834,-0.012331726029515266,-0.0007505007088184357,-0.9999237060546875,0
92,1.84,0.06020403280854225,-0.5435503125190735,-9.784027099609375,0.12293453514575958,0.2632903754711151,0.12609714269638062,-0.15224367380142212,-0.0182863250374794,0.11115124821662903,-0.009486598894000053,-0.0010507111437618732,-0.9999544620513916,0
93,1.86,-0.02950720675289631,-0.5260797142982483,-9.787864685058594,0.02987256646156311,0.3223716616630554,0.0894930362701416,-0.019420363008975983,0.04740077257156372,-0.0880587249994278,-0.009181694127619267,0.0005149762146174908,-0.9999577403068542,0
94,1.8800000000000001,-0.24926497042179108,-0.6696379780769348,-9.800300598144531,0.033907800912857056,0.286336213350296,0.07976814359426498,-0.32274341583251953,-0.27789267897605896,0.06532970070838928,-0.011687119491398335,0.0043501826003193855,-0.9999222159385681,0
95,1.9000000000000001,-0.5434303879737854,-0.8602511882781982,-9.753761291503906,0.018299102783203125,0.3247281014919281,0.0707302913069725,-0.23282520473003387,-0.18742352724075317,0.02547750249505043,-0.015013649128377438,0.009483437053859234,-0.9998422861099243,0
96,1.92,-0.8619545102119446,-1.1039284467697144,-9.698379516601562,-0.006044536828994751,0.34573137760162354,0.016173802316188812,-0.30574873089790344,-0.2654542624950409,0.07679246366024017,-0.01926599070429802,0.015040582045912743,-0.9997012615203857,0
97,1.94,-1.3444470167160034,-1.3760643005371094,-9.655929565429688,-0.028403669595718384,0.43167591094970703,0.03371733799576759,-0.48748359084129333,-0.2478831559419632,0.04651296138763428,-0.024014538154006004,0.02345610223710537,-0.9994363784790039,0
98,1.96,-1.8010210990905762,-1.25884211063385,-9.53338623046875,0.047634392976760864,0.3978254795074463,0.13529257476329803,-0.07014477252960205,0.27009955048561096,0.20805180072784424,-0.021969173103570938,0.0314209870994091,-0.9992647767066956,0
99,1.98,-1.7484493255615234,-1.2289592027664185,-9.361808776855469,0.019744157791137695,0.35178300738334656,0.23291347920894623,0.20428480207920074,-0.09463676810264587,0.09725598990917206,-0.021447740495204926,0.030504442751407623,-0.999304473400116,0
100,2.0,-1.243213176727295,-1.188461422920227,-9.2156982421875,-0.053684741258621216,0.3406650125980377,0.2682758867740631,0.6290754079818726,0.1059596836566925,0.15607115626335144,-0.020741069689393044,0.021691787987947464,-0.9995495080947876,0
101,2.02,-0.5974500179290771,-0.3273048400878906,-9.129135131835938,-0.003920078277587891,0.2924472689628601,0.07592856138944626,0.5926975607872009,1.0322110652923584,0.060377079993486404,-0.0057125152088701725,0.010427108965814114,-0.9999293088912964,0
102,2.04,-0.026292724534869194,0.45271334052085876,-9.002212524414062,0.0009353756904602051,0.2435029149055481,0.0311953853815794,0.08856596797704697,0.10077240318059921,0.1213531568646431,0.007901256904006004,0.00045888032764196396,-0.9999687075614929,0
103,2.06,-0.08149658888578415,0.483012318611145,-8.862548828125,0.05214285850524902,0.22442474961280823,-0.03772887960076332,-0.178616002202034,-0.04367005079984665,0.09917248040437698,0.008430056273937225,0.0014223328325897455,-0.9999634623527527,0
104,2.08,-0.3941262364387512,0.3515842854976654,-8.753631591796875,0.058530569076538086,0.2674292325973511,-0.09119168668985367,-0.31187352538108826,-0.16811534762382507,0.04676434025168419,0.006136264186352491,0.006878615822643042,-0.9999575018882751,0
105,2.1,-0.6769821643829346,0.007319401018321514,-8.719894409179688,0.026019364595413208,0.3072253465652466,-0.1451663374900818,-0.1554173231124878,-0.4071255028247833,0.01646404154598713,0.00012774858623743057,0.011815291829407215,-0.999930202960968,0
106,2.12,-0.6628411412239075,-0.6055691838264465,-8.664146423339844,-0.0029776692390441895,0.3383992314338684,-0.19757041335105896,0.026257365942001343,-0.40662580728530884,0.03840178623795509,-0.010568980127573013,0.0115678571164608,-0.9998772144317627,0
107,2.14,-0.652184784412384,-0.8511729836463928,-8.656906127929688,0.010798424482345581,0.3486279547214508,-0.18393424153327942,-0.01338341273367405,-0.032447729259729385,-0.027077406644821167,-0.014855223707854748,0.011381268501281738,-0.9998248815536499,0
