step,time_s,cmd_x,cmd_y,cmd_yaw,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,contact_BL_FOOT,contact_BR_FOOT,contact_ML_FOOT,contact_MR_FOOT,action_BL_coxa_joint,action_BR_coxa_joint,action_ML_coxa_joint,action_MR_coxa_joint,action_BL_femur_joint,action_BR_femur_joint,action_ML_femur_joint,action_MR_femur_joint,action_BL_tibia_joint,action_BR_tibia_joint,action_ML_tibia_joint,action_MR_tibia_joint,target_pos_rad_BL_coxa_joint,target_pos_rad_BR_coxa_joint,target_pos_rad_ML_coxa_joint,target_pos_rad_MR_coxa_joint,target_pos_rad_BL_femur_joint,target_pos_rad_BR_femur_joint,target_pos_rad_ML_femur_joint,target_pos_rad_MR_femur_joint,target_pos_rad_BL_tibia_joint,target_pos_rad_BR_tibia_joint,target_pos_rad_ML_tibia_joint,target_pos_rad_MR_tibia_joint,actual_pos_rad_BL_coxa_joint,actual_pos_rad_BR_coxa_joint,actual_pos_rad_ML_coxa_joint,actual_pos_rad_MR_coxa_joint,actual_pos_rad_BL_femur_joint,actual_pos_rad_BR_femur_joint,actual_pos_rad_ML_femur_joint,actual_pos_rad_MR_femur_joint,actual_pos_rad_BL_tibia_joint,actual_pos_rad_BR_tibia_joint,actual_pos_rad_ML_tibia_joint,actual_pos_rad_MR_tibia_joint,actual_vel_radps_BL_coxa_joint,actual_vel_radps_BR_coxa_joint,actual_vel_radps_ML_coxa_joint,actual_vel_radps_MR_coxa_joint,actual_vel_radps_BL_femur_joint,actual_vel_radps_BR_femur_joint,actual_vel_radps_ML_femur_joint,actual_vel_radps_MR_femur_joint,actual_vel_radps_BL_tibia_joint,actual_vel_radps_BR_tibia_joint,actual_vel_radps_ML_tibia_joint,actual_vel_radps_MR_tibia_joint
0,0.0,0.0,0.30000001192092896,0.0,-0.020212650299072266,0.6149489283561707,0.4706280827522278,0.3509462773799896,0.08467823266983032,0.08357754349708557,1,1,1,1,-1.1537941694259644,-0.6337548494338989,-0.3223036825656891,-0.9871702790260315,-1.017723560333252,-0.7168081402778625,-0.45338472723960876,-0.9151116013526917,-0.8531520962715149,-0.4309459924697876,0.2865182161331177,0.7095863819122314,-0.9259629249572754,-0.6659432649612427,0.36244696378707886,0.03001365065574646,-0.9451941251754761,-0.794736385345459,-0.6630246639251709,-0.8938881158828735,1.4932861328125,1.7043890953063965,2.0631213188171387,2.274655342102051,-0.35110077261924744,-0.322083979845047,0.5088952779769897,0.5073280334472656,-0.4910149574279785,-0.5604826211929321,-0.45278236269950867,-0.49876725673675537,1.919517993927002,1.8524924516677856,1.9264379739761353,1.9542824029922485,-2.99476957321167,-2.9584970474243164,-2.2199089527130127,-2.646013021469116,-3.072643518447876,-2.971217155456543,-2.9200968742370605,-3.2096402645111084,-2.48893404006958,-2.0966527462005615,3.0374035835266113,2.8570172786712646
1,0.02,0.0,0.30000001192092896,0.0,-0.07386279106140137,0.3405630588531494,0.3156532049179077,0.2504681944847107,0.196201890707016,-0.013835151679813862,0,0,1,0,-0.6539414525032043,0.08734919875860214,1.1789393424987793,1.5508445501327515,-1.994574785232544,-0.6992336511611938,-0.6457381248474121,-1.271767497062683,0.06204577535390854,-0.08713727444410324,-0.02695402316749096,-0.5985000133514404,-0.6760365962982178,-0.30539125204086304,1.1130684614181519,1.2990210056304932,-1.433619737625122,-0.7859491109848022,-0.7592014074325562,-1.0722160339355469,1.9508850574493408,1.8762935400009155,1.9063851833343506,1.6206121444702148,-0.41094985604286194,-0.3530239760875702,0.5217643976211548,0.5307005047798157,-0.5510079860687256,-0.6204333305358887,-0.5128729939460754,-0.5588235259056091,1.9028388261795044,1.8356672525405884,1.9679819345474243,1.9291613101959229,-2.9993691444396973,-0.770110547542572,2.997117519378662,3.0084140300750732,-3.003427028656006,-3.003321647644043,-2.9952049255371094,-2.997603416442871,0.04522833973169327,-0.05803468078374863,0.8026800155639648,-3.001243829727173
2,0.04,0.0,0.30000001192092896,0.0,-0.1281784474849701,0.2819181978702545,0.23655802011489868,-0.1162581667304039,-0.016719259321689606,-0.2951406240463257,0,0,0,0,-0.21285533905029297,0.5008184909820557,1.0651013851165771,1.505241870880127,-1.2630444765090942,0.44908827543258667,0.12703439593315125,-0.6274634599685669,1.049942970275879,0.8297789692878723,-0.5662674903869629,-0.9116689562797546,-0.4554935097694397,-0.09865659475326538,1.0561494827270508,1.2762197256088257,-1.0678545236587524,-0.21178817749023438,-0.3728151321411133,-0.7500640153884888,2.444833755493164,2.334751605987549,1.6367284059524536,1.4640276432037354,-0.46646738052368164,-0.3234206736087799,0.5816807746887207,0.5910788178443909,-0.6111419796943665,-0.5954742431640625,-0.531063437461853,-0.6183292269706726,1.9586312770843506,1.8906763792037964,1.9204835891723633,1.8690941333770752,-2.406704902648926,2.990180015563965,3.003758430480957,3.0130257606506348,-3.0000014305114746,2.9967143535614014,0.7287771105766296,-3.0077898502349854,3.000460624694824,3.0018670558929443,-3.0005438327789307,-3.0023131370544434
3,0.06,0.0,0.30000001192092896,0.0,-0.048367828130722046,0.19935841858386993,0.025194138288497925,0.1361447125673294,-0.41867223381996155,0.18955865502357483,0,0,0,0,0.4953778386116028,0.6216857433319092,1.962090253829956,1.673190951347351,-0.2428445816040039,-0.715015709400177,-0.7829980850219727,0.5520474910736084,1.0800889730453491,1.4997351169586182,-0.8273683190345764,-1.0664936304092407,-0.10137692093849182,-0.03822296857833862,1.5046439170837402,1.360194206237793,-0.557754635810852,-0.7938401699066162,-0.8278313875198364,-0.1603085696697235,2.459906578063965,2.669729709625244,1.5061780214309692,1.38661527633667,-0.4445970058441162,-0.26441988348960876,0.6421895027160645,0.6509615182876587,-0.6493914723396301,-0.585252583026886,-0.5691198706626892,-0.5899145007133484,2.0186400413513184,1.9508010149002075,1.8604063987731934,1.8091204166412354,3.002002000808716,2.9932897090911865,2.9962942600250244,3.0044426918029785,-0.7832422256469727,-1.5272506475448608,-2.9690563678741455,2.970616340637207,3.0003762245178223,3.0001540184020996,-2.99886417388916,-3.001976251602173
4,0.08,0.0,0.30000001192092896,0.0,-0.02264636754989624,0.207000270485878,-0.006660585291683674,-0.294925332069397,0.17479953169822693,0.18503013253211975,0,0,0,0,0.3308580219745636,0.4743097126483917,1.4400081634521484,1.3274574279785156,0.15743622183799744,0.892952561378479,0.5047067403793335,-0.14555321633815765,0.7837198972702026,1.3750404119491577,-1.0064959526062012,-0.4615209698677063,-0.1836368292570114,-0.11191098392009735,1.2436028718948364,1.18732750415802,-0.3576142191886902,0.010143965482711792,-0.18397894501686096,-0.5091089010238647,2.3117220401763916,2.607382297515869,1.4166141748428345,1.6891016960144043,-0.3845462203025818,-0.20445425808429718,0.7020925879478455,0.7109850645065308,-0.6072211265563965,-0.5382401347160339,-0.5463710427284241,-0.5354117155075073,2.0786452293395996,2.0108044147491455,1.8003849983215332,1.7492574453353882,3.0000157356262207,3.000189781188965,3.000072717666626,3.000211238861084,3.000107526779175,3.0002729892730713,2.9995603561401367,2.374903917312622,3.000188112258911,3.0004053115844727,-3.0003457069396973,-2.9292471408843994
5,0.1,0.0,0.30000001192092896,0.0,-0.0186714306473732,0.20546020567417145,-0.19316262006759644,-0.26036059856414795,0.10060364007949829,0.19685578346252441,0,0,0,0,0.6491401791572571,0.6692758798599243,1.2913366556167603,1.6601310968399048,0.5529471039772034,0.1389540135860443,0.3498324751853943,0.6838873028755188,0.35794252157211304,0.8820744156837463,-0.7746591567993164,-0.6168872117996216,-0.024495750665664673,-0.014427900314331055,1.169267177581787,1.3536643981933594,-0.15985876321792603,-0.36685532331466675,-0.26141607761383057,-0.09438866376876831,2.0988333225250244,2.3608994483947754,1.5325325727462769,1.6114184856414795,-0.3245609998703003,-0.14447979629039764,0.7620904445648193,0.7709805369377136,-0.5471586585044861,-0.47824031114578247,-0.48636797070503235,-0.4755590558052063,2.119532585144043,2.0708131790161133,1.7403799295425415,1.6892600059509277,2.9993271827697754,2.99898099899292,2.9998061656951904,2.9997806549072266,3.0028655529022217,3.0001320838928223,2.9997916221618652,3.0003509521484375,1.2325009107589722,3.000354528427124,-3.0002124309539795,-2.999823808670044
6,0.12,0.0,0.30000001192092896,0.0,0.07645631581544876,-0.006905197631567717,0.0075107598677277565,-0.8036916255950928,-0.1910657286643982,0.09299419820308685,0,1,1,1,0.6816953420639038,0.8283495903015137,1.3426671028137207,1.4970263242721558,1.1722290515899658,0.21462315320968628,0.6264944076538086,1.2021980285644531,0.24140304327011108,0.7883694171905518,-0.6956983208656311,-0.49832847714424133,-0.008218169212341309,0.06510895490646362,1.1949323415756226,1.2721118927001953,0.1497822105884552,-0.32902073860168457,-0.12308511137962341,0.16476669907569885,2.0405635833740234,2.314046859741211,1.572013020515442,1.6706979274749756,-0.2645934820175171,-0.09335612505674362,0.8085784912109375,0.8195927739143372,-0.48707279562950134,-0.4460005760192871,-0.44512876868247986,-0.4239582121372223,2.1158432960510254,2.1120686531066895,1.6944633722305298,1.6495083570480347,3.0015580654144287,2.9924511909484863,0.21103784441947937,-2.3460965156555176,3.0027379989624023,1.6244646310806274,-1.7267241477966309,-0.38717424869537354,-1.09871506690979,2.6491200923919678,0.4006410837173462,-0.6114600300788879
7,0.14,0.0,0.30000001192092896,0.0,0.0367257222533226,0.20467637479305267,0.2542549967765808,-0.09281301498413086,0.7650967240333557,0.0414322130382061,1,1,1,1,-0.008044288493692875,0.9683260917663574,0.34021684527397156,0.08295798301696777,1.2695237398147583,-0.19490426778793335,1.4616600275039673,2.762744188308716,-0.30681562423706055,-0.6084418296813965,0.019673751667141914,0.10933566838502884,-0.35308799147605896,0.1350972056388855,0.6937072277069092,0.5650777816772461,0.19842955470085144,-0.5337844491004944,0.29449769854545593,0.9450397491455078,1.7664543390274048,1.6156412363052368,1.9296990633010864,1.9745299816131592,-0.2461363673210144,-0.0390142947435379,0.8058403730392456,0.8064690232276917,-0.42836129665374756,-0.44119036197662354,-0.43745991587638855,-0.4296489655971527,2.0674188137054443,2.07131290435791,1.6985812187194824,1.6583952903747559,-0.7051054239273071,2.7347006797790527,-0.3081652820110321,-0.7309001684188843,3.0364773273468018,-0.6003710627555847,2.1492955684661865,-0.34561777114868164,-2.3497297763824463,-3.002595901489258,0.10573098063468933,0.4702232778072357
8,0.16,0.0,0.30000001192092896,0.0,-0.03190059959888458,0.26317334175109863,0.4869493842124939,0.16258083283901215,0.30674856901168823,0.019600365310907364,1,0,1,1,0.11678194254636765,1.1022623777389526,0.7667258977890015,0.6457475423812866,0.8394940495491028,0.25013741850852966,1.3057185411453247,2.2117223739624023,-0.4271526336669922,-0.7613939046859741,0.09686914831399918,-0.42052873969078064,-0.2906748652458191,0.2020653486251831,0.9069617390632629,0.8464725613594055,-0.01658529043197632,-0.3112636208534241,0.21652695536613464,0.6695288419723511,1.706285834312439,1.5391652584075928,1.968296766281128,1.7095978260040283,-0.26919397711753845,0.02022046223282814,0.8027303218841553,0.7904309034347534,-0.3675840497016907,-0.41734302043914795,-0.3876831531524658,-0.41007134318351746,2.0146775245666504,2.0113022327423096,1.6996718645095825,1.6535626649856567,-1.2643358707427979,2.985729932785034,-0.14795075356960297,-0.8752045035362244,3.0533041954040527,2.3489720821380615,2.268613338470459,2.0481696128845215,-2.8254141807556152,-2.999424695968628,0.280232310295105,-0.7809869050979614
9,0.18,0.0,0.30000001192092896,0.0,-0.08983826637268066,0.13115009665489197,0.5550717115402222,0.05902297422289848,0.048705946654081345,-0.00043097976595163345,1,1,1,1,0.19867408275604248,1.580155372619629,1.060461163520813,0.8559783101081848,1.3412837982177734,0.470427930355072,1.528488278388977,1.996239423751831,-0.3177323043346405,-0.76156085729599,-0.3512905538082123,-0.753598690032959,-0.24972879886627197,0.44101184606552124,1.0538294315338135,0.9515879154205322,0.234309583902359,-0.2011183500289917,0.3279118239879608,0.5617873668670654,1.7609959840774536,1.5390816926956177,1.7442169189453125,1.5430628061294556,-0.285572350025177,0.07632184028625488,0.8095582723617554,0.7765979170799255,-0.30753910541534424,-0.35818323493003845,-0.3319074511528015,-0.355375200510025,1.9559884071350098,1.9517043828964233,1.6890534162521362,1.6225332021713257,-0.39427831768989563,2.7090601921081543,0.5970091819763184,-0.5622332692146301,3.0003199577331543,3.0116612911224365,2.892362356185913,2.903977870941162,-3.000155210494995,-3.013155937194824,-0.795917809009552,-2.006178379058838
10,0.2,0.0,0.30000001192092896,0.0,-0.09302632510662079,0.13464891910552979,0.4929673373699188,-0.41128355264663696,0.3328086733818054,-0.06800691038370132,0,1,1,0,0.22316354513168335,0.6756139397621155,0.6493104696273804,1.0996673107147217,0.10443303734064102,0.9303181767463684,1.3051809072494507,-0.19752678275108337,0.009968106634914875,-0.5922145843505859,-0.29845139384269714,-1.014876365661621,-0.23748406767845154,-0.011258870363235474,0.8482540249824524,1.073432445526123,-0.3841157853603363,0.028826773166656494,0.21625813841819763,-0.5350956916809082,1.9248461723327637,1.623754858970642,1.7706364393234253,1.4124239683151245,-0.28644663095474243,0.08918212354183197,0.8138494491577148,0.8002052307128906,-0.2701869308948517,-0.30046266317367554,-0.2782640755176544,-0.34331014752388,1.9135090112686157,1.8931047916412354,1.6683844327926636,1.5647739171981812,0.29133710265159607,0.06573249399662018,0.1975826621055603,2.419414758682251,0.7929438352584839,2.8844406604766846,2.637232542037964,-1.0550740957260132,-1.3734959363937378,-2.981510639190674,-1.2790284156799316,-2.9978156089782715
11,0.22,0.0,0.30000001192092896,0.0,0.03137846291065216,0.2708733081817627,0.4186714291572571,0.35398542881011963,-0.23618508875370026,0.3707695007324219,0,1,1,0,0.5728365778923035,0.17630541324615479,0.0744331032037735,2.02850341796875,-0.6781303286552429,0.6503420472145081,1.478866457939148,0.48288342356681824,0.08613285422325134,-0.14818702638149261,-0.313691645860672,-1.4084066152572632,-0.06264755129814148,-0.2609131336212158,0.5608153343200684,1.5378504991531372,-0.7753974795341492,-0.11116129159927368,0.30310091376304626,-0.1948906034231186,1.9629285335540771,1.845768690109253,1.7630163431167603,1.2156589031219482,-0.24817466735839844,0.059321749955415726,0.807434618473053,0.8582063913345337,-0.3198094069957733,-0.24913470447063446,-0.23559021949768066,-0.3244566321372986,1.9095890522003174,1.8453679084777832,1.6467921733856201,1.504993200302124,3.0004444122314453,-2.82967472076416,-0.6402958631515503,2.9819133281707764,-3.0032923221588135,2.2991483211517334,2.1608240604400635,2.1594042778015137,0.5168150663375854,-1.9795008897781372,-1.024492621421814,-2.993692636489868
