phase,action_mean_BL_coxa_joint,action_mean_BR_coxa_joint,action_mean_ML_coxa_joint,action_mean_MR_coxa_joint,action_mean_BL_femur_joint,action_mean_BR_femur_joint,action_mean_ML_femur_joint,action_mean_MR_femur_joint,action_mean_BL_tibia_joint,action_mean_BR_tibia_joint,action_mean_ML_tibia_joint,action_mean_MR_tibia_joint,target_pos_mean_rad_BL_coxa_joint,target_pos_mean_rad_BR_coxa_joint,target_pos_mean_rad_ML_coxa_joint,target_pos_mean_rad_MR_coxa_joint,target_pos_mean_rad_BL_femur_joint,target_pos_mean_rad_BR_femur_joint,target_pos_mean_rad_ML_femur_joint,target_pos_mean_rad_MR_femur_joint,target_pos_mean_rad_BL_tibia_joint,target_pos_mean_rad_BR_tibia_joint,target_pos_mean_rad_ML_tibia_joint,target_pos_mean_rad_MR_tibia_joint,actual_pos_mean_rad_BL_coxa_joint,actual_pos_mean_rad_BR_coxa_joint,actual_pos_mean_rad_ML_coxa_joint,actual_pos_mean_rad_MR_coxa_joint,actual_pos_mean_rad_BL_femur_joint,actual_pos_mean_rad_BR_femur_joint,actual_pos_mean_rad_ML_femur_joint,actual_pos_mean_rad_MR_femur_joint,actual_pos_mean_rad_BL_tibia_joint,actual_pos_mean_rad_BR_tibia_joint,actual_pos_mean_rad_ML_tibia_joint,actual_pos_mean_rad_MR_tibia_joint,actual_vel_mean_radps_BL_coxa_joint,actual_vel_mean_radps_BR_coxa_joint,actual_vel_mean_radps_ML_coxa_joint,actual_vel_mean_radps_MR_coxa_joint,actual_vel_mean_radps_BL_femur_joint,actual_vel_mean_radps_BR_femur_joint,actual_vel_mean_radps_ML_femur_joint,actual_vel_mean_radps_MR_femur_joint,actual_vel_mean_radps_BL_tibia_joint,actual_vel_mean_radps_BR_tibia_joint,actual_vel_mean_radps_ML_tibia_joint,actual_vel_mean_radps_MR_tibia_joint
0.0,0.9718692302703857,0.7667369246482849,0.8403847813606262,1.5204224586486816,1.9557359218597412,0.0595841221511364,0.987455427646637,1.7913507223129272,-0.04248301684856415,-1.1673120260238647,-0.670387327671051,-1.2355660200119019,0.13686871528625488,0.03430256247520447,0.9437912106513977,1.2838096618652344,0.5415359735488892,-0.40654027462005615,0.05739545077085495,0.45934274792671204,1.898620367050171,1.336206316947937,1.5846686363220215,1.3020790815353394,0.15163522958755493,-0.0044319299049675465,0.892439603805542,1.019777536392212,-0.01235942728817463,-0.1154036596417427,-0.17947623133659363,-0.10918854922056198,2.1218836307525635,1.4275016784667969,1.6642963886260986,1.4528459310531616,0.3596230447292328,-0.4317018687725067,-0.425618976354599,-0.6895036697387695,-0.11152693629264832,-2.5835964679718018,1.1340477466583252,-0.021494269371032715,-1.0289071798324585,0.4815678298473358,-0.5194169878959656,0.975888192653656
0.007874015718698502,0.9270694851875305,0.8275198340415955,0.9009293913841248,1.4353888034820557,2.0120551586151123,-0.013140308670699596,0.8041062355041504,1.739525556564331,-0.08187565207481384,-1.1672515869140625,-0.7110857367515564,-1.1838514804840088,0.1144687682390213,0.06469397991895676,0.9740633964538574,1.241292953491211,0.5696954131126404,-0.44290241599082947,-0.03427915647625923,0.43343043327331543,1.8789241313934326,1.3362367153167725,1.564319372177124,1.3279364109039307,0.14864566922187805,-0.0032373592257499695,0.8935075998306274,1.0187408924102783,-0.012320482172071934,-0.12301617860794067,-0.18432606756687164,-0.10933874547481537,2.1192381381988525,1.4296294450759888,1.6583698987960815,1.4553236961364746,0.09359679371118546,-0.22076301276683807,-0.24470382928848267,-0.6385977864265442,-0.10051873326301575,-2.631246328353882,0.6313634514808655,-0.003767669666558504,-1.0602787733078003,0.517271101474762,-0.8149536848068237,0.96978759765625
0.015748031437397003,0.8822693824768066,0.8883025050163269,0.961473822593689,1.3503546714782715,2.0683748722076416,-0.08586477488279343,0.6207571625709534,1.6877007484436035,-0.12126828730106354,-1.1671912670135498,-0.7517843842506409,-1.1321372985839844,0.09206884354352951,0.09508538246154785,1.0043357610702515,1.1987760066986084,0.5978549718856812,-0.4792648255825043,-0.12595374882221222,0.4075179994106293,1.8592278957366943,1.336266279220581,1.543969988822937,1.3537936210632324,0.14565610885620117,-0.00204278901219368,0.8945755958557129,1.017703652381897,-0.012281537987291813,-0.1306287795305252,-0.18917590379714966,-0.10948897153139114,2.1165921688079834,1.4317572116851807,1.6524430513381958,1.4578008651733398,-0.17242947220802307,-0.009824010543525219,-0.0637885257601738,-0.587692141532898,-0.08951050788164139,-2.6788976192474365,0.128679096698761,0.01395893283188343,-1.0916506052017212,0.5529744029045105,-1.1104899644851685,0.9636869430541992
0.023622047156095505,0.8374693989753723,0.9490852952003479,1.0220180749893188,1.2653205394744873,2.1246931552886963,-0.1585891991853714,0.43740788102149963,1.635876178741455,-0.16066089272499084,-1.1671313047409058,-0.792482852935791,-1.0804227590560913,0.06966888904571533,0.12547679245471954,1.0346077680587769,1.156259298324585,0.6260144710540771,-0.5156267881393433,-0.21762840449810028,0.3816055953502655,1.839531660079956,1.3362966775894165,1.52362060546875,1.3796508312225342,0.14266656339168549,-0.0008482176926918328,0.8956435322761536,1.0166664123535156,-0.012242593802511692,-0.13824135065078735,-0.19402572512626648,-0.10963920503854752,2.1139461994171143,1.4338855743408203,1.6465163230895996,1.4602782726287842,-0.4384557604789734,0.2011149376630783,0.11712673306465149,-0.5367865562438965,-0.07850231230258942,-2.726548671722412,-0.37400519847869873,0.03168553486466408,-1.1230216026306152,0.5886773467063904,-1.4060269594192505,0.9575861692428589
0.031496062874794006,0.7926697731018066,1.0098679065704346,1.0825622081756592,1.1802870035171509,2.1810126304626465,-0.23131366074085236,0.2540586292743683,1.5840511322021484,-0.20005355775356293,-1.1670708656311035,-0.8331817388534546,-1.0287083387374878,0.047268956899642944,0.15586821734905243,1.0648800134658813,1.1137421131134033,0.6541739106178284,-0.5519890785217285,-0.30930301547050476,0.35569337010383606,1.8198357820510864,1.3363267183303833,1.503271222114563,1.4055079221725464,0.13967706263065338,0.00034635377232916653,0.8967116475105286,1.015629529953003,-0.01220365148037672,-0.14585387706756592,-0.19887562096118927,-0.10978943109512329,2.111300468444824,1.4360129833221436,1.6405893564224243,1.4627556800842285,-0.704481840133667,0.41205379366874695,0.29804202914237976,-0.48588088154792786,-0.06749408692121506,-2.774198293685913,-0.8766892552375793,0.04941213130950928,-1.1543935537338257,0.6243808269500732,-1.7015631198883057,0.951485276222229
0.03937007859349251,0.7478695511817932,1.0706510543823242,1.1431071758270264,1.0952527523040771,2.2373321056365967,-0.3040381073951721,0.07070940732955933,1.5322264432907104,-0.23944616317749023,-1.1670105457305908,-0.8738800287246704,-0.9769942164421082,0.02486901916563511,0.18625961244106293,1.095152497291565,1.0712252855300903,0.6823336482048035,-0.5883512496948242,-0.4009777009487152,0.32978081703186035,1.8001391887664795,1.3363569974899292,1.4829221963882446,1.431364893913269,0.1366874873638153,0.0015409240731969476,0.8977798223495483,1.0145922899246216,-0.01216470543295145,-0.15346643328666687,-0.20372545719146729,-0.10993962734937668,2.108654499053955,1.4381409883499146,1.6346625089645386,1.4652330875396729,-0.9705082178115845,0.6229926943778992,0.4789572060108185,-0.4349752366542816,-0.056485895067453384,-2.8218488693237305,-1.3793737888336182,0.06713872402906418,-1.185765027999878,0.6600837707519531,-1.9971004724502563,0.9453849196434021
0.04724409431219101,0.7030699253082275,1.1314339637756348,1.2036516666412354,1.0102192163467407,2.2936511039733887,-0.37676259875297546,-0.11263983696699142,1.4804013967514038,-0.2788388133049011,-1.1669502258300781,-0.9145787358283997,-0.925279974937439,0.0024690835271030664,0.216651052236557,1.1254242658615112,1.0287083387374878,0.7104930877685547,-0.6247134804725647,-0.49265217781066895,0.30386847257614136,1.7804430723190308,1.3363869190216064,1.4625728130340576,1.45722234249115,0.13369789719581604,0.00273549510166049,0.8988474607467651,1.0135551691055298,-0.012125763110816479,-0.1610790193080902,-0.2085752934217453,-0.11008989065885544,2.106008529663086,1.4402687549591064,1.6287356615066528,1.4677106142044067,-1.2365347146987915,0.8339317440986633,0.6598725914955139,-0.38406968116760254,-0.045477692037820816,-2.869499444961548,-1.8820579051971436,0.08486533910036087,-1.2171365022659302,0.6957870721817017,-2.2926366329193115,0.939284086227417
0.05511811003088951,0.6582701206207275,1.1922168731689453,1.2641960382461548,0.9251855611801147,2.3499698638916016,-0.44948700070381165,-0.29598909616470337,1.4285764694213867,-0.31823140382766724,-1.1668901443481445,-0.9552773237228394,-0.8735655546188354,-0.01993085816502571,0.24704252183437347,1.1556967496871948,0.9861913323402405,0.7386527061462402,-0.6610758900642395,-0.5843268036842346,0.2779560387134552,1.7607462406158447,1.3364170789718628,1.4422237873077393,1.4830795526504517,0.13070833683013916,0.003930067177861929,0.8999156951904297,1.012518048286438,-0.012086820788681507,-0.16869159042835236,-0.2134251445531845,-0.11024008691310883,2.103362560272217,1.442396879196167,1.6228086948394775,1.4701881408691406,-1.5025608539581299,1.0448707342147827,0.8407878875732422,-0.33316388726234436,-0.03446950763463974,-2.917149543762207,-2.384742021560669,0.10259192436933517,-1.248508095741272,0.7314901947975159,-2.5881733894348145,0.933183491230011
0.06299212574958801,0.6402871012687683,1.2348601818084717,1.3219600915908813,0.8772246241569519,2.3674724102020264,-0.44810059666633606,-0.3778439462184906,1.3978406190872192,-0.30543023347854614,-1.117356538772583,-1.0041929483413696,-0.8387971520423889,-0.02892233245074749,0.26836422085762024,1.1845788955688477,0.9622107744216919,0.747403621673584,-0.6603825092315674,-0.6252542734146118,0.2625879645347595,1.767147183418274,1.3611841201782227,1.417765736579895,1.5004630088806152,0.12700793147087097,0.006908088456839323,0.9023404717445374,1.0115894079208374,-0.012085605412721634,-0.1763944774866104,-0.2195076048374176,-0.11029581725597382,2.1007919311523438,1.4467298984527588,1.616044282913208,1.4727479219436646,-1.647977590560913,1.2218164205551147,0.9917899370193481,-0.31150034070014954,-0.023319773375988007,-2.936556100845337,-2.6522376537323,0.10452840477228165,-1.235932469367981,0.8810856938362122,-2.7484519481658936,0.9337925314903259
0.07086614519357681,0.6534056067466736,1.257305383682251,1.374701976776123,0.8726831078529358,2.3449227809906006,-0.3768162429332733,-0.3558731973171234,1.3940536975860596,-0.24612613022327423,-1.0183508396148682,-1.0606410503387451,-0.8242174386978149,-0.022362960502505302,0.27958688139915466,1.2109501361846924,0.9599403142929077,0.7361285090446472,-0.624740481376648,-0.6142690777778625,0.2606945037841797,1.7967993021011353,1.4106866121292114,1.3895413875579834,1.507753610610962,0.12259706109762192,0.011630073189735413,0.906154990196228,1.0107614994049072,-0.012125723995268345,-0.184138685464859,-0.22696278989315033,-0.11025067418813705,2.09832501411438,1.4533653259277344,1.608437418937683,1.4753891229629517,-1.6644235849380493,1.3641771078109741,1.1133537292480469,-0.3140309453010559,-0.014714077115058899,-2.927011728286743,-2.675978183746338,0.09011416137218475,-1.1957608461380005,1.1440128087997437,-2.772221088409424,0.9347766041755676
