step,time_s,root_x_w,root_y_w,root_z_w,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,roll_deg,pitch_deg,yaw_drift_deg,yaw_feedback_action,foot_contact_count,stride_ik_max_abs_action_delta,contact_BL_FOOT,contact_BR_FOOT,contact_ML_FOOT,contact_MR_FOOT,foot_xy_speed_BL_FOOT,foot_xy_speed_BR_FOOT,foot_xy_speed_ML_FOOT,foot_xy_speed_MR_FOOT
58,1.16,-0.3460206389427185,0.22816018760204315,0.21821069717407227,0.07725664973258972,0.4738394021987915,-0.08255615085363388,0.14493714272975922,-0.2431952804327011,0.011263665743172169,-0.45596984028816223,0.5917528867721558,7.23236083984375,-0.3499999940395355,2,0.07284927368164062,0,1,1,0,0.7598915100097656,0.014490692876279354,0.14442577958106995,1.8572847843170166
59,1.18,-0.35339027643203735,0.23282505571842194,0.216652974486351,0.04193809628486633,0.4018457531929016,-0.03887563943862915,-0.14104503393173218,-0.34581810235977173,0.061467546969652176,-0.4590124189853668,0.16916806995868683,7.330696105957031,-0.0672226995229721,2,0.14654541015625,0,1,1,0,1.0798741579055786,0.013250138610601425,0.007311247289180756,1.3450855016708374
60,1.2,-0.36142808198928833,0.23780657351016998,0.21567797660827637,0.08285675942897797,0.5252057313919067,-0.012090068310499191,-0.20297451317310333,-0.02752102166414261,0.015251925215125084,-0.6596338152885437,-0.04878292232751846,7.368080139160156,-0.10313773155212402,2,0.2363739013671875,0,1,1,0,1.3682365417480469,0.017447931692004204,0.007341622840613127,1.1725642681121826
61,1.22,-0.3707727789878845,0.24481825530529022,0.21546123921871185,0.16416911780834198,0.6097583770751953,0.04463068023324013,-0.37327128648757935,0.5227788090705872,0.10930583626031876,-0.9990329146385193,0.25909852981567383,7.413032531738281,-0.071080282330513,2,0.3260650634765625,0,1,1,0,1.2093017101287842,0.015218890272080898,0.01185788307338953,0.5934227705001831
62,1.24,-0.3795055150985718,0.2529489994049072,0.2156217098236084,0.11401798576116562,0.42008450627326965,0.1924767941236496,-0.08204635977745056,0.23752935230731964,-0.26505234837532043,-1.4137718677520752,1.360781192779541,7.352058410644531,-0.13727116584777832,3,0.383880615234375,0,1,1,1,1.238674283027649,0.35868701338768005,0.0031646282877773046,0.010564212687313557
63,1.26,-0.3853367567062378,0.2571627199649811,0.21648801863193512,0.019337952136993408,0.3116411566734314,0.01976999267935753,0.3491821885108948,-0.7858783006668091,-0.1116984561085701,-1.2286120653152466,1.024652123451233,7.238502502441406,0.12525838613510132,1,0.4061279296875,0,0,0,1,0.7613696455955505,0.6680965423583984,1.7601912021636963,0.02566550113260746
64,1.28,-0.39171740412712097,0.2600162923336029,0.21643444895744324,-0.011281028389930725,0.39695900678634644,0.0828721672296524,-0.21000544726848602,-0.4309311807155609,-0.18184371292591095,-0.980749249458313,0.10939370095729828,7.0686187744140625,0.018802620470523834,2,0.42218017578125,1,0,0,1,0.041299156844615936,0.9279964566230774,1.7881593704223633,0.017264170572161674
65,1.3,-0.39992791414260864,0.2637659013271332,0.21786904335021973,-0.018760204315185547,0.49209654331207275,0.11008082330226898,-0.13169768452644348,0.2326403260231018,-0.5912894606590271,-1.1734166145324707,0.1427835077047348,6.588340759277344,0.0692385733127594,2,0.115814208984375,1,0,0,1,0.02672797255218029,1.0888234376907349,1.227880835533142,0.02536998875439167
66,1.32,-0.4092070162296295,0.26779475808143616,0.2193928360939026,-0.02975943684577942,0.5210387706756592,0.10688447207212448,-0.2972339689731598,-0.31828874349594116,-0.12078017741441727,-1.4470993280410767,0.07558529078960419,6.2434234619140625,0.3499999940395355,2,0.22797775268554688,1,0,0,1,0.03304549679160118,0.9222890734672546,1.4449752569198608,0.031526487320661545
67,1.34,-0.41972318291664124,0.27121177315711975,0.22169159352779388,-0.10523855686187744,0.5513164401054382,0.1646813005208969,-0.12201623618602753,0.41609618067741394,-0.3343087136745453,-1.7437306642532349,0.5440106391906738,5.912322998046875,0.032975129783153534,3,0.3408164978027344,1,0,1,1,0.5918703675270081,0.8445927500724792,0.046721357852220535,0.054205819964408875
