step,time_s,root_x_w,root_y_w,root_z_w,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,roll_deg,pitch_deg,yaw_drift_deg,yaw_feedback_action,foot_contact_count,stride_ik_max_abs_action_delta,contact_BL_FOOT,contact_BR_FOOT,contact_ML_FOOT,contact_MR_FOOT,foot_xy_speed_BL_FOOT,foot_xy_speed_BR_FOOT,foot_xy_speed_ML_FOOT,foot_xy_speed_MR_FOOT
0,0.0,0.060006625950336456,-0.02102002687752247,0.15636177361011505,0.04375186562538147,0.4735448360443115,0.2617100477218628,0.13327088952064514,-0.7270383238792419,0.5659439563751221,-0.09984140843153,-0.372811883687973,0.0,0.0,3,0.0,1,1,0,1,0.8493269681930542,0.09160389006137848,0.29760605096817017,0.1562429964542389
1,0.02,0.05426209419965744,-0.01729380339384079,0.1591217815876007,0.020061500370502472,0.2916490137577057,0.05691567063331604,0.20997318625450134,-0.6799656748771667,0.3003584146499634,0.11554530262947083,-1.18996000289917,0.4928932189941406,-0.0,0,0.0,0,0,0,0,0.8574442863464355,0.5239392518997192,0.9933245182037354,1.323108434677124
2,0.04,0.04970363527536392,-0.014926597476005554,0.15853625535964966,-0.032201118767261505,0.23703913390636444,-0.08211375027894974,0.007191330194473267,-0.7729834318161011,0.017090387642383575,0.2060192972421646,-2.020082712173462,0.6429252624511719,-0.0,0,0.0,0,0,0,0,0.9904255867004395,0.8938421010971069,1.0248162746429443,1.4823178052902222
3,0.06,0.045909956097602844,-0.013421371579170227,0.156513050198555,0.015923310071229935,0.1255781352519989,0.0023092753253877163,-0.4688122272491455,0.9523545503616333,0.39160633087158203,0.010736905038356781,-2.710789203643799,0.6735343933105469,-0.0,1,0.0,0,0,1,0,0.7150390148162842,1.2261061668395996,0.5131621360778809,1.3202106952667236
4,0.08,0.04336049407720566,-0.01145327277481556,0.1563953161239624,-0.013006426393985748,0.19001591205596924,0.09694420546293259,-0.6283650994300842,1.4145232439041138,-0.3362294137477875,-0.004439555108547211,-1.0783321857452393,0.7815055847167969,-0.0,2,0.0,0,1,1,0,0.8016858100891113,0.3023113012313843,0.5346860289573669,1.089895486831665
5,0.1,0.04044656082987785,-0.007414139807224274,0.15536242723464966,0.19037334620952606,0.24624092876911163,-0.016682054847478867,-0.004419565200805664,1.333742380142212,-0.36572232842445374,-0.3092273771762848,0.8213234543800354,0.5689697265625,0.0,2,0.0,0,0,1,1,1.2714622020721436,0.8184987902641296,0.08251306414604187,0.33483967185020447
6,0.12,0.03751002252101898,-0.003115180879831314,0.15589004755020142,0.07256584614515305,0.25669369101524353,0.003693651407957077,0.36162906885147095,-1.3727236986160278,0.3974091112613678,-0.0430048368871212,0.29955822229385376,0.7716560363769531,0.0,1,0.0,0,0,0,1,1.0497758388519287,0.9710209369659424,1.3618505001068115,0.7434208989143372
7,0.14,0.03290380537509918,0.0005514957010746002,0.15540102124214172,0.02367708832025528,0.3090835213661194,-0.0760032907128334,0.07833653688430786,-1.9829368591308594,0.1747899055480957,0.1543666422367096,-1.737147331237793,1.0654067993164062,-0.0,1,0.0,0,0,0,1,0.9783229827880859,1.3307936191558838,1.4382833242416382,0.7182132005691528
8,0.16,0.029770689085125923,0.004804630763828754,0.1571725457906723,0.18984097242355347,0.1725328117609024,0.2520618140697479,0.4895763695240021,-0.2922371029853821,0.8980958461761475,0.4425821304321289,-2.61991024017334,1.69659423828125,-0.0,2,0.0,0,0,1,1,0.49098289012908936,1.5111970901489258,0.005477039143443108,0.0329163521528244
9,0.18,0.026543332263827324,0.008280687034130096,0.1642557978630066,0.07276131212711334,0.26143208146095276,0.36013975739479065,1.1247398853302002,0.08982014656066895,0.6810442805290222,1.4045199155807495,-2.646585702896118,2.5095481872558594,-0.0,2,0.0,0,0,1,1,1.0626949071884155,1.5001269578933716,0.17804747819900513,0.0353703647851944
10,0.2,0.023796232417225838,0.01034959964454174,0.17015190422534943,-0.03675701469182968,0.12525998055934906,0.3555392920970917,-0.4417821168899536,0.8424396514892578,-0.3179139792919159,2.2169179916381836,-1.5046378374099731,2.873138427734375,-0.0,3,0.0,1,1,1,0,1.2139724493026733,0.3868979513645172,0.7224165797233582,1.1758626699447632
11,0.22,0.019975582137703896,0.010853461921215057,0.17738936841487885,-0.07340827584266663,0.25382494926452637,0.44232675433158875,-0.5052722692489624,0.39206111431121826,0.18266382813453674,1.6244689226150513,-1.1348520517349243,2.8649864196777344,0.0,2,0.0,0,1,1,0,0.572319507598877,0.006521537434309721,0.03141280263662338,1.4613887071609497
12,0.24,0.01451721042394638,0.013019370846450329,0.18410435318946838,0.005078226327896118,0.33622604608535767,0.26457250118255615,0.0574377179145813,0.8483290672302246,0.12732069194316864,1.4252687692642212,-0.3447684347629547,3.069690704345703,-0.0,1,0.0,0,0,1,0,0.8899145722389221,0.5077630877494812,0.3184434175491333,1.4441922903060913
13,0.26,0.009802114218473434,0.014992335811257362,0.18623606860637665,-0.05033178627490997,0.20817868411540985,-0.0003504113992676139,0.08128219097852707,0.3077048361301422,0.2323981672525406,1.544022560119629,0.3233940601348877,3.334575653076172,-0.0,0,0.0,0,0,0,0,0.915934681892395,0.43584513664245605,1.2874388694763184,1.3193777799606323
14,0.28,0.005359869450330734,0.015851428732275963,0.1849050223827362,-0.052653856575489044,0.22716480493545532,-0.08582228422164917,-0.7780773639678955,0.30073994398117065,0.25594720244407654,1.0350948572158813,0.5686269402503967,3.646800994873047,-0.0,0,0.0,0,0,0,0,1.001409888267517,1.0809381008148193,1.4002015590667725,1.4131957292556763
